id,frequency,recommend
87,5,0
181,8,0
205,39,1
293,24,0
331,21,0
363,48,1
414,31,0
498,32,0
514,14,0
550,33,0
598,45,1
659,32,0
686,8,0
727,4,0
806,45,0
880,19,0
914,50,0
1014,46,1
1085,22,0
1098,24,0
1100,2,0
1189,42,1
1243,11,0
1325,39,0
1345,50,0
1357,27,0
1434,28,0
1497,49,1
1519,35,0
1579,12,0
1627,16,0
1685,47,0
1746,14,0
1752,25,0
1823,30,0
1885,32,0
1952,2,0
1993,0,0
2015,14,0
2021,27,0
2023,26,0
2085,19,0
2174,50,0
2230,48,0
2298,20,0
2367,30,0
2411,40,1
2418,39,0
2479,25,0
2498,23,0
2588,6,0
2679,30,0
2775,14,0
2812,0,0
2891,37,0
2972,29,0
3050,50,0
3123,32,0
3203,0,0
3255,34,0
3292,9,0
3378,28,0
3401,26,0
3486,44,1
3564,41,0
3656,19,0
3703,22,0
3783,22,0
3871,16,0
3884,44,0
3886,3,0
3896,9,0
3901,8,0
3913,31,0
3950,8,0
3984,3,0
4017,29,0
4053,33,0
4138,11,0
4165,39,0
4261,50,1
4355,33,0
4374,37,1
4410,16,0
4470,45,0
4484,39,0
4517,47,0
4575,33,0
4615,40,1
4689,38,0
4753,26,0
4850,9,0
4909,16,0
4993,45,0
5051,33,0
5110,20,0
5157,27,0
5256,8,0
5327,42,1
5340,5,0
5418,3,0
5512,11,0
5612,47,0
5650,39,1
5738,27,0
5777,19,0
5862,20,0
5863,19,0
5925,22,0
5928,32,1
5950,7,0
6030,25,0
6054,23,0
6077,20,0
6137,42,1
6224,35,0
6320,14,0
6419,8,0
6473,9,0
6544,0,0
6596,21,0
6681,26,0
6721,16,0
6763,33,0
6852,1,0
6936,30,0
6949,29,0
7044,27,0
7077,34,1
7122,27,0
7189,29,0
7265,47,1
7357,13,0
7377,5,0
7448,5,0
7481,33,0
7555,12,0
7639,20,0
7727,0,0
7778,48,0
7792,28,0
7870,5,0
7873,48,0
7882,41,0
7912,13,0
8011,16,0
8041,16,0
8097,1,0
8178,13,0
